time,temp
156.5,20.2937943647
156.75,19.8788341054
157,19.5116329148
157.25,19.1687794696
157.5,18.8489070363
157.75,18.5283590134
158,18.2577174892
158.25,17.9850588841
158.5,17.7626505061
158.75,17.5398633622
159,17.3406698774
159.25,17.1156309961
159.5,16.9413137086
159.75,16.7667394309
160,16.6175415688
160.25,16.4409647642
160.5,16.2913359655
160.75,16.1399890894
161,16.0399844451
161.25,15.8882839986
161.5,15.788042345
161.75,15.6618440547
162,15.5613833704
162.25,15.459299342
162.5,15.3586380457
162.75,15.2823120737
163,15.1554811132
163.25,15.1050088711
163.5,15.0039859234
163.75,14.9273831222
164,14.850719153
164.25,14.8000871633
164.5,14.6972055472
164.75,14.6218924551
165,14.5695986763
165.25,14.4941822468
165.5,14.4680029716
165.75,14.3909618465
166,14.340079133
166.25,14.2629298052
166.5,14.238228123
166.75,14.1609916496
167,14.1099790873
167.25,14.0836885003
167.5,14.0326316204
167.75,14.006318106
168,13.9304293269
168.25,13.9040852497
168.5,13.877733245
168.75,13.8017329038
169,13.7753499057
169.25,13.7489588687
169.5,13.7241128815
169.75,13.6728453972
170,13.6464229323
170.25,13.6215472842
170.5,13.568662469
170.75,13.5437641319
171,13.5173016491
171.25,13.4923882334
171.5,13.4659096856
171.75,13.4144864076
172,13.4144864076
172.25,13.3630316431
172.5,13.3365122987
172.75,13.3099845291
173,13.2584653066
173.25,13.2850094988
173.5,13.2334747776
173.75,13.2069140732
174,13.2069140732
174.25,13.1803448273
174.5,13.1553306545
174.75,13.1287447601
175,13.1037148754
175.25,13.077112242
175.5,13.077112242
175.75,13.077112242
176,13.0254470971
176.25,13.0254470971
176.5,13.0254470971
176.75,12.9737491486
177,12.9737491486
177.25,12.9737491486
177.5,12.9204500984
177.75,12.9204500984
178,12.9204500984
178.25,12.8686850022
178.5,12.8953560227
178.75,12.8435747824
179,12.8435747824
179.25,12.8435747824
179.5,12.8168865626
179.75,12.8168865626
180,12.7917601118
180.25,12.7650546002
180.5,12.7650546002
180.75,12.7383401444
181,12.7650546002
181.25,12.7383401444
181.5,12.7131889347
181.75,12.7383401444
182,12.7131889347
182.25,12.7131889347
182.5,12.6864570462
182.75,12.6864570462
183,12.6612893852
183.25,12.6345399705
183.5,12.6345399705
183.75,12.6345399705
184,12.6345399705
184.25,12.6345399705
184.5,12.5825887354
184.75,12.5825887354
185,12.6077814906
185.25,12.5558125869
185.5,12.5825887354
185.75,12.5825887354
186,12.5558125869
